recipe_name,recipe_type,category,ratings,ingredients,time_required,calories,fat,carbohydrates,protein,cholesterol,sodium,recipe_categories
Dairy-Free Cauliflower Fritters,Veg,Appetizers,3.64285707473755,"['1 head cauliflower, broken into small florets', '1 onion', '7 sprigs fresh parsley', '5 cloves garlic', '1 1/2 cups all-purpose flour', '1 teaspoon salt', '1/4 teaspoon ground black pepper', '1 teaspoon ground cumin', '1 teaspoon ground allspice', '1/2 teaspoon ground cinnamon', '1/4 teaspoon ground cloves', '1/4 teaspoon ground nutmeg', '1 teaspoon active dry yeast', '1 cup warm water', '1/4 cup vegetable oil', '1/4 cup olive oil', '4 eggs']",1 h,184.0,11.3,16.4,5.3,62.0,327.0,"['Indian', 'Snacks', 'Breakfast', 'Non_Veg', 'Egg']"
Easy Raita with Mint and Cilantro,Veg,Appetizers,5,"['2 (7 ounce) containers Greek yogurt', '1 cucumber, peeled and diced', '2 tablespoons chopped fresh mint', '2 tablespoons chopped fresh cilantro', '1/2 teaspoon ground cumin', 'salt and ground black pepper to taste']",15 m,71.0,5.1,3.4,3.3,11.0,53.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Green Chutney,Veg,Appetizers,4.65957450866699,"['1 bunch fresh cilantro', '1 clove garlic', '1 tablespoon minced fresh ginger root', '1 minced hot green chile peppers', '1 tablespoon peanuts', 'salt to taste', '2 tablespoons lemon juice']",15 m,25.0,1.2,3.2,1.2,0.0,8.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Easy Veggie Samosas,Veg,Appetizers,4.10638284683228,"['1 tablespoon vegetable oil', '1/2 cup chopped onion', '3 (19 ounce) cans garbanzo beans, drained', '2 tablespoons curry paste', '1/2 cup apple juice', '3 sheets frozen puff pastry, thawed', '1/4 cup all-purpose flour for dusting']",45 m,696.0,34.3,82.5,15.3,0.0,803.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Elijah's Phulourie,Veg,Appetizers,4.44444465637207,"['2 cups split pea flour', '1 cup self-rising flour', '1/4 teaspoon baking powder', '1/2 teaspoon turmeric', '1/2 teaspoon cumin', '1 teaspoon salt', '3/4 cup water, or as needed', '1/2 small onion, minced', '2 1/2 cloves garlic, minced', '1 green onion, chopped (green part only)', '2 cups vegetable oil for frying']",40 m,134.0,12.3,5.9,1.7,0.0,112.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Spicy Peach Chutney,Veg,Appetizers,4.31746053695679,"['4 pounds sliced peeled peaches', '1 cup raisins', '2 cloves garlic, minced', '1/2 cup chopped onion', '5 ounces chopped preserved ginger', '1 1/2 tablespoons chili powder', '1 tablespoon mustard seed', '1 teaspoon curry powder', '4 cups packed brown sugar', '4 cups apple cider vinegar', '1/4 cup pickling spice']",10 h,51.0,0.1,12.6,0.1,0.0,5.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Spicy Lentil Dip,Veg,Appetizers,3.95454549789429,"['1 cup red lentils', '1 onion, chopped', '2 1/2 cups water', '2 teaspoons curry powder', '3/4 teaspoon cayenne pepper', '1 tablespoon vegetable oil', '2 cloves crushed garlic', '1 teaspoon cumin seeds']",35 m,53.0,1.2,7.7,3.3,0.0,2.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Indian Relish,Veg,Appetizers,4.73109245300293,"['2 red bell peppers, chopped', '1 sweet onion, peeled and chopped', '1 cup white wine vinegar', '1 cup white sugar', '1 tablespoon crushed red pepper flakes']",4 h 35 m,38.0,0.1,9.6,0.2,0.0,2.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Crispy Vegetable Pakoras,Veg,Appetizers,4.57657670974731,"['1 cup chickpea flour', '1/2 teaspoon ground coriander', '1 teaspoon salt', '1/2 teaspoon ground turmeric', '1/2 teaspoon chili powder', '1/2 teaspoon garam masala', '2 cloves garlic, crushed', '3/4 cup water', '1 quart oil for deep frying', '1/2 head cauliflower florets', '2 onions, sliced into rings']",25 m,217.0,15.9,15.9,4.6,0.0,406.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Raita,Veg,Appetizers,4.11267614364624,"['1 cup plain yogurt', '1 cup sour cream', '3 cucumbers, seeded and chopped', '1 tomato, seeded and chopped', '1 teaspoon ground cumin', '1/2 teaspoon paprika', '4 cloves crushed garlic', 'salt and pepper to taste']",45 m,196.0,14.4,13.3,5.5,33.0,65.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
